phoneme,group,F1_Mean,F1_Median,F1_SD,F1_IQR,F1_CV,F2_Mean,F2_Median,F2_SD,F2_IQR,F2_CV
a,fr_f,0.932,1.101,0.722,0.907,0.775,-0.267,-0.517,0.684,1.024,-2.564
a,fr_m,0.694,0.726,0.776,0.688,1.118,-0.368,-0.418,0.503,0.84,-1.365
a,ru_f,0.698,0.841,0.845,0.866,1.211,-0.303,-0.3,0.534,0.685,-1.761
a,ru_m,0.944,1.03,0.647,0.74,0.686,-0.326,-0.375,0.526,0.839,-1.612
e,fr_f,-0.345,-0.391,0.666,0.634,-1.93,0.585,1.063,0.968,1.074,1.654
e,fr_m,-0.071,-0.245,0.52,0.876,-7.361,0.615,0.665,0.329,0.382,0.535
e,ru_f,-0.162,-0.19,0.411,0.502,-2.533,0.342,0.458,1.076,2.041,3.15
e,ru_m,-0.219,-0.247,0.222,0.277,-1.013,0.761,0.809,0.376,0.241,0.494
i,fr_f,-1.007,-0.968,0.432,0.427,-0.429,0.689,1.419,1.269,2.519,1.843
i,fr_m,-0.997,-1.03,0.287,0.346,-0.288,1.345,1.371,0.418,0.275,0.31
i,ru_f,-0.924,-0.916,0.368,0.469,-0.399,0.803,1.592,1.404,2.569,1.75
i,ru_m,-1.078,-1.119,0.263,0.274,-0.244,1.372,1.453,0.48,0.35,0.35
o,fr_f,-0.68,-0.693,0.107,0.174,-0.157,-0.404,-0.365,0.222,0.36,-0.549
o,fr_m,-0.477,-0.448,0.182,0.202,-0.382,-0.578,-0.6,0.212,0.24,-0.367
o,ru_f,-0.451,-0.404,0.364,0.377,-0.808,-0.274,-0.215,0.439,0.567,-1.603
o,ru_m,-0.437,-0.421,0.268,0.465,-0.614,-0.826,-0.825,0.096,0.137,-0.116
u,fr_f,-0.794,-0.756,0.373,0.57,-0.47,-0.8,-0.796,0.344,0.407,-0.431
u,fr_m,-0.658,-0.677,0.327,0.364,-0.496,-1.354,-1.382,0.45,0.575,-0.332
u,ru_f,-0.812,-0.829,0.298,0.438,-0.368,-0.758,-0.796,0.435,0.519,-0.573
u,ru_m,-0.967,-0.955,0.271,0.282,-0.28,-1.14,-1.254,0.596,0.567,-0.523
y,fr_f,-0.587,-0.676,0.445,0.426,-0.758,0.831,0.865,0.219,0.25,0.264
y,fr_m,-0.725,-0.842,0.578,0.329,-0.797,0.297,0.373,0.474,0.609,1.596
y,ru_f,-0.826,-0.821,0.317,0.427,-0.384,0.466,0.526,0.646,0.614,1.387
y,ru_m,-0.92,-0.978,0.465,0.344,-0.505,0.151,0.417,0.708,0.439,4.697
ø,fr_f,-0.446,-0.423,0.22,0.284,-0.493,0.598,0.74,0.441,0.469,0.737
ø,fr_m,-0.488,-0.455,0.207,0.283,-0.424,0.004,0.019,0.217,0.291,49.035
ø,ru_f,-0.316,-0.332,0.327,0.503,-1.037,0.184,0.376,0.658,0.863,3.573
ø,ru_m,-0.469,-0.518,0.296,0.315,-0.631,0.171,0.321,0.501,0.2,2.927
ɑ,fr_f,0.268,0.356,0.564,0.552,2.106,-0.753,-0.822,0.329,0.484,-0.437
ɑ,fr_m,0.411,0.438,0.33,0.392,0.803,-0.934,-0.942,0.167,0.164,-0.178
ɑ,ru_f,0.356,0.47,0.706,1.088,1.981,-0.499,-0.452,0.316,0.345,-0.633
ɑ,ru_m,0.425,0.439,0.344,0.323,0.811,-0.955,-0.942,0.253,0.323,-0.265
ɛ,fr_f,0.41,0.477,0.443,0.612,1.08,0.701,1.115,0.853,0.359,1.216
ɛ,fr_m,0.213,0.186,0.263,0.291,1.231,0.65,0.682,0.303,0.451,0.466
ɛ,ru_f,0.029,0.057,0.469,0.627,15.971,0.007,-0.284,1.006,1.786,146.904
ɛ,ru_m,-0.13,-0.116,0.331,0.373,-2.558,0.893,0.889,0.26,0.342,0.291
