Model,Phoneme,ROPE_Limit,Estimate,CI_Lower,CI_Upper,Class
Whisper,a,0.120436944,0.01189196,0.007678257,0.017511565,Equivalent
Whisper,e,0.120436944,0.012736681,0.008809974,0.018306812,Equivalent
Whisper,i,0.120436944,0.009891113,0.006405187,0.014444997,Equivalent
Whisper,o,0.120436944,0.016201627,0.010682486,0.024457512,Equivalent
Whisper,u,0.120436944,0.0074609583,0.005199626,0.010950811,Equivalent
Whisper,y,0.120436944,0.010527202,0.007830553,0.014893857,Equivalent
Whisper,ø,0.120436944,0.01831838,0.011636192,0.02757858,Equivalent
Whisper,ɑ,0.120436944,0.025083745,0.01578477,0.03895142,Equivalent
Whisper,ɛ,0.120436944,0.012371823,0.008729803,0.0174797,Equivalent
XLS-R,a,0.2663526,0.025376447,0.016347472,0.03696626,Equivalent
XLS-R,e,0.2663526,0.050925,0.028337907,0.083662,Equivalent
XLS-R,i,0.2663526,0.02950026,0.0149116935,0.049350467,Equivalent
XLS-R,o,0.2663526,0.042462807,0.022801159,0.07669276,Equivalent
XLS-R,u,0.2663526,0.02593965,0.014751258,0.042106885,Equivalent
XLS-R,y,0.2663526,0.03708439,0.022924038,0.057785455,Equivalent
XLS-R,ø,0.2663526,0.0622759,0.03571804,0.09866142,Equivalent
XLS-R,ɑ,0.2663526,0.077831164,0.041070342,0.13246232,Equivalent
XLS-R,ɛ,0.2663526,0.047914404,0.03097652,0.06895932,Equivalent
